iter	Passed	Remaining
0	56	56295
1	56	28306
2	57	18974
3	57	14308
4	57	11512
5	58	9656
6	58	8333
7	59	7335
8	60	6615
9	60	5987
10	60	5476
11	61	5047
12	61	4687
13	62	4376
14	62	4107
15	62	3870
16	63	3661
17	63	3476
18	64	3310
19	64	3162
20	64	3027
21	65	2904
22	65	2792
23	66	2689
24	67	2639
25	68	2555
26	68	2472
27	69	2395
28	69	2333
29	70	2266
30	70	2203
31	70	2145
32	71	2090
33	71	2039
34	72	1989
35	72	1944
36	73	1900
37	73	1858
38	73	1819
39	74	1791
40	75	1755
41	75	1720
42	75	1688
43	76	1658
44	76	1628
45	77	1598
46	77	1570
47	77	1543
48	78	1517
49	79	1505
50	79	1480
51	79	1457
52	80	1435
53	80	1413
54	81	1393
55	81	1373
56	81	1354
57	82	1336
58	82	1318
59	83	1301
60	83	1284
61	83	1268
62	84	1252
63	84	1237
64	85	1223
65	85	1209
66	85	1195
67	86	1182
68	86	1168
69	87	1156
70	87	1143
71	87	1131
72	88	1119
73	88	1108
74	89	1098
75	90	1097
76	90	1087
77	91	1076
78	91	1066
79	91	1056
80	93	1055
81	93	1052
82	94	1048
83	95	1039
84	95	1030
85	96	1022
86	96	1013
87	96	1004
88	97	996
89	97	988
90	98	980
91	98	972
92	98	964
93	99	957
94	99	949
95	100	942
96	100	935
97	100	928
98	101	921
99	101	915
100	102	908
101	102	902
102	108	947
103	109	942
104	110	940
105	110	933
106	111	927
107	111	921
108	111	914
109	112	908
110	112	902
111	113	896
112	113	890
113	113	884
114	114	879
115	114	873
116	114	867
117	115	863
118	116	864
119	117	858
120	117	853
121	117	847
122	118	842
123	118	837
124	119	833
125	119	830
126	119	824
127	120	822
128	121	817
129	121	813
130	121	808
131	122	804
132	122	801
133	123	797
134	123	792
135	124	788
136	124	784
137	124	780
138	125	776
139	125	772
140	126	768
141	126	763
142	126	759
143	127	757
144	127	753
145	128	750
146	128	746
147	129	742
148	129	739
149	129	735
150	130	733
151	130	729
152	131	726
153	131	722
154	131	719
155	132	716
156	132	712
157	133	709
158	134	708
159	134	705
160	134	701
161	135	698
162	135	695
163	136	693
164	136	691
165	137	688
166	137	685
167	137	682
168	138	679
169	138	678
170	139	676
171	139	673
172	140	672
173	141	669
174	141	667
175	141	664
176	142	661
177	142	659
178	143	656
179	143	653
180	143	651
181	144	649
182	145	647
183	145	647
184	146	644
185	146	642
186	147	639
187	147	637
188	147	634
189	148	632
190	148	630
191	149	628
192	149	626
193	150	624
194	150	621
195	151	620
196	151	618
197	152	615
198	152	613
199	152	611
200	153	609
201	153	607
202	154	606
203	155	604
204	155	603
205	156	601
206	156	599
207	156	597
208	157	595
209	158	594
210	158	592
211	158	590
212	159	589
213	160	590
214	161	589
215	162	588
216	162	587
217	163	585
218	163	584
219	164	583
220	165	581
221	166	582
222	167	582
223	167	581
224	168	580
225	169	579
226	169	577
227	170	576
228	170	575
229	171	574
230	172	573
231	172	571
232	173	569
233	173	568
234	174	567
235	174	566
236	175	564
237	175	563
238	176	561
239	176	560
240	177	559
241	177	557
242	178	555
243	178	553
244	179	551
245	179	550
246	180	549
247	180	548
248	181	546
249	181	545
250	182	543
251	182	542
252	183	541
253	183	539
254	184	538
255	184	537
256	185	536
257	185	534
258	186	533
259	186	532
260	187	530
261	187	529
262	188	528
263	189	527
264	189	525
265	190	524
266	190	523
267	191	522
268	192	521
269	192	520
270	193	519
271	193	518
272	194	517
273	194	516
274	195	514
275	195	513
276	196	512
277	196	510
278	197	509
279	197	508
280	198	506
281	198	505
282	198	503
283	199	502
284	199	500
285	200	499
286	200	498
287	200	496
288	201	495
289	201	493
290	202	492
291	202	491
292	203	490
293	203	488
294	203	487
295	204	486
296	204	484
297	205	483
298	205	482
299	206	481
300	206	480
301	207	478
302	207	477
303	207	476
304	208	475
305	209	474
306	209	473
307	210	472
308	210	471
309	211	469
310	211	468
311	211	467
312	212	466
313	212	464
314	213	463
315	213	462
316	214	461
317	214	460
318	215	460
319	216	459
320	216	458
321	217	458
322	218	457
323	218	455
324	218	454
325	219	453
326	219	452
327	220	451
328	220	449
329	221	448
330	221	447
331	222	446
332	222	445
333	222	444
334	223	443
335	223	442
336	224	441
337	225	441
338	225	440
339	226	439
340	226	438
341	227	437
342	227	436
343	228	435
344	228	434
345	229	433
346	229	432
347	230	431
348	230	430
349	231	429
350	231	428
351	232	427
352	232	426
353	233	425
354	233	424
355	233	423
356	234	422
357	234	421
358	235	420
359	235	419
360	236	418
361	236	417
362	237	416
363	237	415
364	238	414
365	238	413
366	239	412
367	239	411
368	240	410
369	241	410
370	241	409
371	242	408
372	242	407
373	243	406
374	243	405
375	243	404
376	244	403
377	244	402
378	245	402
379	245	401
380	246	400
381	246	399
382	247	398
383	247	397
384	248	396
385	248	396
386	249	394
387	249	394
388	250	393
389	250	392
390	251	392
391	252	391
392	252	390
393	253	389
